Day,type of food ,restaurant name,Area,location,rate from 1-5,what,when,FoodOrSnack
wed,french,Brenda's ,tenderlion,restaurant,3,egg benedict,2,food/snacks
thu,asian,shabu bar,mission bay,restaurant,5,shabu shabu,3,food
fri,american,Sally's,potrero hill,restaurant,3,egg benedict,1,food
sat,french,the crepe house,_,online,5,nutella banana crepe,3,dessert
sat,asian,homemade,_,home,2,pork fried rice,2,food
sat,asian,homemade,_,home,4,chicken noodle soup,3,food
sun,asian,homemade,_,home,4,shabu shabu,1,food
mon,asian,homemade,_,home,3,chicken fried rice,3,food
tue,asian,homemade,_,home,4,pork fried rice,1,food
tue,_,homemade,_,home,4,cereal,2,snacks
tue,asian,homemade,_,home,5,shabu shabu,3,food
wed,asian,homemade,_,home,5,instant noodles,1,food
wed,asian,homemade,_,home,2,pork fried rice,2,food
wed,asian,homemade,_,home,2,pork fried rice,3,food
thu,asian,homemade,_,home,4,black bean noodle,2,food
thu,asian,homemade,_,home,4,black bean noodle,3,food
fri,_,homemade,_,home,4,salad,1,food
fri,asian,homemade,_,home,5,chicken tikkamasala,2,food
fri,asian,homemade,_,home,5,chicken tikkamasala,3,food
sat,american,homemade,_,home,4,brownie,2,snacks
sat,asian,homemade,_,home,2,chowmian,3,food
sun,_,homemade,_,home,4,salad,1,food
sun,asian,homemade,_,home,4,chicken fried rice,2,food
sun,asian,homemade,_,home,4,black bean noodle,3,food
mon,asian,homemade,_,home,5,chicken tikkamasala,1,food
mon,asian,Cha um Thai,online,home,5,Tom ka gai,2,food
mon,asian,Cosco,Soma,restaurant,3,chicken baked,3,food
tue,_,homemade,_,home,4,cereal,1,snacks
tue,asian,homemade,_,home,3,Tom yum goong,2,food
tue,american,Soma pizza,online,home,5,pizza and chicken wings,3,food
wed,_,homemade,_,home,4,cereal,1,snacks
wed,asian,homemade,_,home,3,Tom yum goong,2,food
wed,asian,homemade,_,home,4,Sukiyaki,3,food
thu,_,homemade,_,home,4,cereal,1,snacks
thu,american,homemade,_,home,4,brownie,2,snacks
thu,asian,Sharetea,soma,restaurant,5,Thai tea bubble tea,3,snacks
fri,asian,hunnan's chef,soma,restaurant,2,,2,food
fri,asian,Nabe,inner sunset,restaurant,5,Shabu,3,food
fri,american,crepe,_,online,5,crepes,3,snacks
sat,asian,homemade,_,home,4,noodle salad,1,food
sat,asian,homemade,_,home,5,fried rice,3,food
sun,_,homemade,_,home,4,cereal,1,snacks
sun,asian,homemade,_,home,5,Shabu,3,food
mon,_,homemade,_,home,4,salad,1,food
mon,asian,homemade,_,home,3,veggie noodle,3,food
tue,asian,homemade,_,home,3,vegan black bean noodle,2,food
tue,asian,Enjoy vegetarian,Chinatown,restaurant,3,vegan chowmain,3,food
